arm,completed_epoch,step,metric,value,population,source
b0,1,50687,ct_epoch_core_loss_observation/loss_motion_cls::ct_epoch_core_loss,0.4046320617198944,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_motion_cls
b0,2,101374,ct_epoch_core_loss_observation/loss_motion_cls::ct_epoch_core_loss,0.35668373107910156,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_motion_cls
b0,3,152061,ct_epoch_core_loss_observation/loss_motion_cls::ct_epoch_core_loss,0.34303921461105347,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_motion_cls
b0,4,202748,ct_epoch_core_loss_observation/loss_motion_cls::ct_epoch_core_loss,0.33492377400398254,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_motion_cls
b0,1,50687,ct_epoch_core_loss_observation/loss_plugin_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_plugin_transaction
b0,2,101374,ct_epoch_core_loss_observation/loss_plugin_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_plugin_transaction
b0,3,152061,ct_epoch_core_loss_observation/loss_plugin_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_plugin_transaction
b0,4,202748,ct_epoch_core_loss_observation/loss_plugin_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_plugin_transaction
b0,1,50687,ct_epoch_core_loss_observation/loss_seg::ct_epoch_core_loss,0.1860111951828003,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_seg
b0,2,101374,ct_epoch_core_loss_observation/loss_seg::ct_epoch_core_loss,0.10938067734241486,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_seg
b0,3,152061,ct_epoch_core_loss_observation/loss_seg::ct_epoch_core_loss,0.09902715682983398,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_seg
b0,4,202748,ct_epoch_core_loss_observation/loss_seg::ct_epoch_core_loss,0.09229206293821335,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_seg
b0,1,50687,ct_epoch_core_loss_observation/loss_total::ct_epoch_core_loss,2.3095481395721436,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_total
