run,tracklet_key,success,precision,mean_iou,mean_center_error,frame_count,empty_fallback_count,failure_count,max_failure_streak,first_failure_frame_index,first_failure_source_frame_index,first_persistent_failure_frame_index,first_persistent_failure_source_frame_index,path_variance_count,path_center_gap_mean,path_yaw_gap_mean
A1,a661e4cd1f644266a8307b4948082ae7,63.088235294117645,82.6470588235294,0.6340599484147784,0.34878171283240594,17,0,0,0,,,,,0,,
A1,9ca01ff2a1b54d2eafaed768e58783ad,52.22222222222223,66.80555555555556,0.5247732440101616,0.663232329030643,18,0,0,0,,,,,0,,
A1,a1cc58fdb3fa4a0097a315a77ce1be90,50.25000000000001,68.25,0.5020067902409522,0.6340823462557447,10,0,0,0,,,,,0,,
A1,307a3275c31f452eb9c7c66636c7bb27,52.27272727272726,55.90909090909091,0.513857325554516,0.8809243747605298,11,0,0,0,,,,,0,,
A1,d71462c2ae74472bae3adbf7a41b2fc7,45.83333333333333,64.76190476190476,0.45899338200773265,0.7042767697483983,21,0,0,0,,,,,0,,
A1,6ad58d370ed542a9a68e1fcf5a4f2ee7,32.94117647058823,44.85294117647059,0.3205455728444751,1.1262744400865838,17,3,3,3,14,26,14,26,0,,
A1,55527032f0174fefa3b051a24707bf08,55.59523809523809,58.80952380952381,0.5581303251788826,0.8126841496590206,21,0,0,0,,,,,0,,
A1,fa6ddc168ffb4ab88b718f719357211e,66.02941176470587,84.70588235294117,0.6642800636102978,0.2982699038525885,17,0,0,0,,,,,0,,
A1,77268b95b44a4b89ad17df89479de81c,24.80769230769231,42.30769230769231,0.2476063784942279,1.1514866540243822,13,0,0,0,,,,,0,,
A1,e3f3d97fa9564422a37828d01c8a2f5f,54.61538461538462,78.07692307692308,0.5503034433599986,0.44297218888512724,13,0,0,0,,,,,0,,
A1,ec221beba32448e4a9865e920aeefed5,43.23529411764706,47.20588235294117,0.43053768145909505,1.0540341506585245,17,0,1,1,16,31,,,0,,
A1,ca3f0ced132845b4afce73a6f27a953e,78.61111111111111,86.1111111111111,0.7855558449152863,0.27774326924082193,9,0,0,0,,,,,0,,
A1,fe050ab6b19d41d8bc2641f9835e9d1b,40.73529411764706,58.23529411764705,0.4076827356995992,0.8303177208854228,17,4,0,0,,,,,0,,
A1,0b2ef8648d3c467989b67d5a3ce2a3df,37.75000000000001,59.75,0.3794833281428295,0.7970898255208845,10,0,0,0,,,,,0,,
A1,8fba9861aa6d4d14b78c90fbb5372fb2,54.625,77.125,0.5462176152155928,0.4510769563903539,20,0,0,0,,,,,0,,
A1,3eb275ac391e46aa8fad54e18a7b5a8f,45.208333333333336,68.12499999999999,0.4498199488184223,0.6362890767486673,12,0,0,0,,,,,0,,
A1,fd4ce422e0db4ad3ab978a811ba04d3a,56.875,72.625,0.5661624435548215,0.542871654706609,20,0,0,0,,,,,0,,
A1,2e84949acbd84ea3857ca2a04e50b6a4,43.05555555555555,61.11111111111111,0.4300124547768165,0.7757166801818561,9,0,0,0,,,,,0,,
A1,52770232202d4ad1a98ed07d5b4c20b9,66.75,81.125,0.6702596534996379,0.3871346852891033,20,2,0,0,,,,,0,,
A1,ec5241e32939433baeb2b3955920b28c,70.14705882352942,86.1764705882353,0.7040469951038598,0.27222823167913607,17,0,0,0,,,,,0,,
A1,7a2612095f7840048f58d69a07e836a5,63.035714285714285,60.89285714285714,0.6315481556494554,0.788354089652216,14,0,0,0,,,,,0,,
A1,ec2a550c52b240d98c9c3bca3d06602f,39.58333333333333,60.416666666666664,0.39754088584969716,0.7867587314038748,18,4,0,0,,,,,0,,
A1,85269a87307a4ee3967e37b496e32280,42.291666666666664,65.625,0.4239546335546968,0.6748885624026782,12,0,0,0,,,,,0,,
