arm,epoch,view0_loss_mean,batches,population
Full,29,0.3606314167182967,1057,B0 observation canonical view0
Full,30,0.35360747805550735,1057,B0 observation canonical view0
Full,31,0.33905342182844117,1057,B0 observation canonical view0
Full,32,0.3417473099702862,1057,B0 observation canonical view0
Full,33,0.33400797610617855,1057,B0 observation canonical view0
Full,34,0.3303213053671053,1057,B0 observation canonical view0
Full,35,0.3496722115861039,1057,B0 observation canonical view0
Full,36,0.32959108767271494,1057,B0 observation canonical view0
Full,37,0.3210468151789007,1057,B0 observation canonical view0
Full,38,0.326404434155634,1057,B0 observation canonical view0
Full,39,0.32461887118014504,1057,B0 observation canonical view0
Full,40,0.31393597331409084,1057,B0 observation canonical view0
Full,41,0.31118169497406023,1057,B0 observation canonical view0
Full,42,0.31193157313647085,1057,B0 observation canonical view0
Full,43,0.31467281027838884,1057,B0 observation canonical view0
Full,44,0.3091830374336429,1057,B0 observation canonical view0
Full,45,0.3020447592586702,1057,B0 observation canonical view0
Full,46,0.3115478681158997,1057,B0 observation canonical view0
Full,47,0.30235020738789353,1057,B0 observation canonical view0
Full,48,0.316399624393222,1057,B0 observation canonical view0
Full,49,0.30713365814148985,1057,B0 observation canonical view0
Full,50,0.31137943145173164,1057,B0 observation canonical view0
Full,51,0.29604800099413575,1057,B0 observation canonical view0
Full,52,0.3017719824998415,1057,B0 observation canonical view0
Full,53,0.30342636041364357,1057,B0 observation canonical view0
Full,54,0.3043048284778701,1057,B0 observation canonical view0
Full,55,0.3039063583996038,1057,B0 observation canonical view0
Full,56,0.3027777053704776,1057,B0 observation canonical view0
Full,57,0.300069019466272,1057,B0 observation canonical view0
Full,58,0.3054415299861129,1057,B0 observation canonical view0
Full,59,0.29930283676378266,1057,B0 observation canonical view0
Full,60,0.309846906440796,1057,B0 observation canonical view0
