run_id,arm,epoch,loss_total,loss_center,loss_center_aux,loss_center_motion,loss_center_ref,loss_angle,loss_angle_aux,loss_angle_motion,loss_angle_ref,loss_seg,loss_bc,loss_velocity,loss_dynamics_displacement,loss_trajectory_nll,loss_trajectory_adapter_norm,trajectory_sigma_mean,trajectory_adapter_norm,trajectory_adapter_scale,trajectory_gap_activation,trajectory_gap_ratio,trajectory_search_valid,trajectory_search_gap_ratio,search_expansion_points,search_query_delta_t,search_predicted_displacement,foreground_score,foreground_points,valid_history_ratio
B0,B0 baseline (historical),49,0.2211284,0.02158067,0.0207429,0.02090834,0.00875687,0.00023708,0.00025629,0.00036421,0.00014637,0.04756218,0.0695558,,,,,,,,,,,,0.0,0.49789824,0.0,0.42209752,108.31701811,0.90294838
B0,B0 baseline (historical),50,0.2251123,0.02154217,0.02126737,0.02243695,0.00874279,0.00024364,0.0002606,0.00038561,0.00014554,0.04852213,0.06925794,,,,,,,,,,,,0.0,0.49804059,0.0,0.42462921,108.34041441,0.90303092
B0,B0 baseline (historical),51,0.22304055,0.02212423,0.02130176,0.02167969,0.00878117,0.00022666,0.00024596,0.00033298,0.00014871,0.04822973,0.0686899,,,,,,,,,,,,0.0,0.49799192,0.0,0.42367474,108.30856888,0.90296489
B0,B0 baseline (historical),52,0.22753764,0.02239394,0.02120412,0.02291089,0.00872749,0.00025639,0.00027594,0.00039545,0.00014652,0.04721298,0.06843968,,,,,,,,,,,,0.0,0.49782112,0.0,0.42241322,107.23852255,0.90304743
B0,B0 baseline (historical),53,0.22462949,0.02182349,0.02119951,0.02256724,0.00875603,0.00024282,0.0002626,0.00036326,0.00014806,0.04870025,0.06845185,,,,,,,,,,,,0.0,0.49790046,0.0,0.42102755,106.50721428,0.90397189
B0,B0 baseline (historical),54,0.22296807,0.0215618,0.02105291,0.02217502,0.00876916,0.00023478,0.00025044,0.00034545,0.00014982,0.047722,0.06905509,,,,,,,,,,,,0.0,0.49801082,0.0,0.42370055,107.81894338,0.90136359
B0,B0 baseline (historical),55,0.21940688,0.02131143,0.02084479,0.02161779,0.00875538,0.00023267,0.00025275,0.00035212,0.0001463,0.0477685,0.06742205,,,,,,,,,,,,0.0,0.49792058,0.0,0.42230229,105.70635779,0.90162773
B0,B0 baseline (historical),56,0.21825411,0.02141001,0.02063822,0.02093963,0.00876746,0.00023985,0.00026021,0.00036037,0.00014849,0.04754588,0.06744199,,,,,,,,,,,,0.0,0.49787003,0.0,0.42285627,107.48022957,0.90473126
B0,B0 baseline (historical),57,0.22376157,0.02197922,0.02105759,0.02237845,0.00873921,0.00023431,0.00025458,0.00034583,0.00014715,0.04669429,0.06837897,,,,,,,,,,,,0.0,0.49791597,0.0,0.42159113,106.32960126,0.90246964
B0,B0 baseline (historical),58,0.21987916,0.02166239,0.02059308,0.02095473,0.00876682,0.00024415,0.00026266,0.00037333,0.00014425,0.04768462,0.06845867,,,,,,,,,,,,0.0,0.49783239,0.0,0.42226481,110.54695566,0.90357569
B0,B0 baseline (historical),59,0.22160581,0.02163018,0.02123692,0.02160259,0.00866007,0.00024801,0.00026722,0.00037717,0.00014871,0.04795481,0.06788232,,,,,,,,,,,,0.0,0.49798726,0.0,0.42447072,108.59097901,0.90436808
B0,B0 baseline (historical),60,0.22081461,0.02177104,0.0208615,0.02156398,0.00879061,0.00024861,0.00027011,0.00039046,0.00014732,0.04773083,0.0672653,,,,,,,,,,,,0.0,0.49798275,0.0,0.42135603,107.24055615,0.90309695
A0,Legacy motion α=0,1,5.40048194,0.18946656,0.23855632,0.37482128,0.45696965,0.00265905,0.05322021,0.00903495,0.06233257,0.5233529,2.89411858,0.16377683,0.06836037,,,,,,,,,,0.0,0.49799801,0.0,0.71286042,226.50734084,0.9035922
A0,Legacy motion α=0,2,2.41369444,0.12214243,0.12002818,0.1906781,0.12251375,0.00084049,0.00832162,0.00220038,0.0119147,0.44524935,1.31557173,0.10452585,0.04088842,,,,,,,,,,0.0,0.49804443,0.0,0.72378363,223.18376516,0.90245313
A0,Legacy motion α=0,3,1.39619276,0.10339796,0.09360522,0.15709314,0.08643415,0.00073168,0.00463504,0.00173104,0.00667903,0.32026296,0.52512855,0.10215511,0.03989636,,,,,,,,,,0.0,0.4979651,0.0,0.64188759,184.86483203,0.90271726
A0,Legacy motion α=0,4,1.03704228,0.08786305,0.08255431,0.14059473,0.0579138,0.00068783,0.00334845,0.00155628,0.00460849,0.21859569,0.28871367,0.10177007,0.04021002,,,,,,,,,,0.0,0.49789864,0.0,0.5366729,150.40560834,0.90271726
A0,Legacy motion α=0,5,0.86790272,0.07660847,0.07508857,0.11742106,0.04350692,0.00062758,0.00273665,0.0013984,0.00359206,0.16065733,0.22360782,0.10162938,0.04002534,,,,,,,,,,0.0,0.4978729,0.0,0.50993716,139.84313311,0.90430205
A0,Legacy motion α=0,6,0.77344154,0.06853251,0.06937828,0.105022,0.03623534,0.000606,0.00231738,0.00132348,0.00294853,0.13188557,0.19264114,0.09928654,0.03916599,,,,,,,,,,0.0,0.49808681,0.0,0.48840181,126.52451888,0.90377379
A0,Legacy motion α=0,7,0.70945007,0.0634656,0.06700566,0.09541554,0.03146354,0.00052988,0.00207994,0.00110693,0.00260275,0.11389339,0.17237614,0.10168951,0.04019736,,,,,,,,,,0.0,0.49798465,0.0,0.47324688,126.57174901,0.90131407
A0,Legacy motion α=0,8,0.65823389,0.05892439,0.06137423,0.08787256,0.02797066,0.00051551,0.00186384,0.0010394,0.0022476,0.10647024,0.16192476,0.09705225,0.03833606,,,,,,,,,,0.0,0.49789624,0.0,0.46767639,119.56936712,0.90350966
A0,Legacy motion α=0,9,0.62675353,0.05499398,0.05905727,0.08530332,0.02648485,0.00049964,0.0018168,0.00103338,0.00211258,0.09708762,0.15104902,0.09990341,0.03971406,,,,,,,,,,0.0,0.4978661,0.0,0.45868264,119.59073037,0.90242012
A0,Legacy motion α=0,10,0.5723462,0.05123695,0.05412025,0.07525674,0.02450235,0.00045861,0.0016192,0.0009184,0.00183021,0.09018565,0.13934483,0.09679301,0.03832329,,,,,,,,,,0.0,0.49800556,0.0,0.46032986,118.56672466,0.90327854
A0,Legacy motion α=0,11,0.54742305,0.05095077,0.05336417,0.07016381,0.02242586,0.00043949,0.00155167,0.00085994,0.00170744,0.08414373,0.13002282,0.09629727,0.03824471,,,,,,,,,,0.0,0.49816398,0.0,0.44528677,116.82584541,0.90275028
A0,Legacy motion α=0,12,0.52220243,0.04658518,0.0500402,0.06861337,0.02130536,0.00042324,0.00150095,0.00081326,0.00164486,0.07948221,0.12576327,0.09636792,0.03838661,,,,,,,,,,0.0,0.49796032,0.0,0.44783279,112.44008818,0.90372426
A0,Legacy motion α=0,13,0.49137128,0.04344045,0.04697412,0.06386587,0.0202145,0.00039583,0.00133646,0.00078337,0.00143316,0.07540423,0.12057091,0.09479385,0.03764684,,,,,,,,,,0.0,0.49789325,0.0,0.44150533,111.06770916,0.90311346
A0,Legacy motion α=0,14,0.50600355,0.04582688,0.04823427,0.06600351,0.01981014,0.00041895,0.0013704,0.00077343,0.0014245,0.07558218,0.12307607,0.09582486,0.03820627,,,,,,,,,,0.0,0.49779127,0.0,0.44618091,113.32947982,0.90270076
A0,Legacy motion α=0,15,0.4585059,0.04054605,0.04444583,0.05855734,0.01855895,0.00038231,0.00129194,0.0007324,0.00137012,0.07008358,0.11210397,0.09527938,0.03801663,,,,,,,,,,0.0,0.49812166,0.0,0.43593114,111.51957552,0.90210646
