run,metric,epoch,batch_count,mean,min,max,all_finite
Full,ct_foreground_points,52,1262,29.076366877971473,3.8125,77.1875,True
Full,ct_foreground_points,53,1262,29.13713351822504,5.4375,75.3125,True
Full,ct_foreground_points,54,1262,29.095235736925517,3.5625,65.875,True
Full,ct_foreground_points,55,1262,29.027337559429476,4.4375,68.8125,True
Full,ct_foreground_points,56,1262,29.021988906497622,5.25,65.9375,True
Full,ct_foreground_points,57,1262,28.949534469096672,4.25,74.875,True
Full,ct_foreground_points,58,1262,28.87356378763867,3.5625,77.875,True
Full,ct_foreground_points,59,1262,29.337014659271,6.5625,70.375,True
Full,ct_foreground_points,60,1262,29.11118264659271,6.0,69.5625,True
Full,ct_motion_residual_saturation,1,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,2,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,3,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,4,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,5,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,6,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,7,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,8,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,9,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,10,1262,0.0,0.0,0.0,True
Full,ct_motion_residual_saturation,11,1262,0.00014857369255150555,0.0,0.03125,True
Full,ct_motion_residual_saturation,12,1262,0.0003961965134706815,0.0,0.03125,True
Full,ct_motion_residual_saturation,13,1262,0.0006933438985736926,0.0,0.03125,True
Full,ct_motion_residual_saturation,14,1262,0.0007676307448494453,0.0,0.0625,True
Full,ct_motion_residual_saturation,15,1262,0.0010152535657686212,0.0,0.09375,True
Full,ct_motion_residual_saturation,16,1262,0.0013619255150554676,0.0,0.0625,True
Full,ct_motion_residual_saturation,17,1262,0.0013124009508716323,0.0,0.0625,True
Full,ct_motion_residual_saturation,18,1262,0.0013866877971473852,0.0,0.09375,True
Full,ct_motion_residual_saturation,19,1262,0.0017828843106180666,0.0,0.0625,True
Full,ct_motion_residual_saturation,20,1262,0.001881933438985737,0.0,0.09375,True
Full,ct_motion_residual_saturation,21,1262,0.0019562202852614896,0.0,0.09375,True
Full,ct_motion_residual_saturation,22,1262,0.001931458003169572,0.0,0.0625,True
Full,ct_motion_residual_saturation,23,1262,0.0019809825673534074,0.0,0.09375,True
Full,ct_motion_residual_saturation,24,1262,0.0019066957210776545,0.0,0.125,True
Full,ct_motion_residual_saturation,25,1262,0.0016838351822503963,0.0,0.09375,True
Full,ct_motion_residual_saturation,26,1262,0.0022781299524564183,0.0,0.0625,True
Full,ct_motion_residual_saturation,27,1262,0.001881933438985737,0.0,0.125,True
Full,ct_motion_residual_saturation,28,1262,0.0019066957210776545,0.0,0.09375,True
Full,ct_motion_residual_saturation,29,1262,0.0018571711568938192,0.0,0.09375,True
Full,ct_motion_residual_saturation,30,1262,0.0020800316957210775,0.0,0.125,True
Full,ct_motion_residual_saturation,31,1262,0.0020305071315372424,0.0,0.09375,True
Full,ct_motion_residual_saturation,32,1262,0.0017828843106180666,0.0,0.09375,True
Full,ct_motion_residual_saturation,33,1262,0.0019809825673534074,0.0,0.09375,True
Full,ct_motion_residual_saturation,34,1262,0.0021047939778129953,0.0,0.125,True
Full,ct_motion_residual_saturation,35,1262,0.0019809825673534074,0.0,0.09375,True
Full,ct_motion_residual_saturation,36,1262,0.00205526941362916,0.0,0.0625,True
Full,ct_motion_residual_saturation,37,1262,0.001931458003169572,0.0,0.0625,True
Full,ct_motion_residual_saturation,38,1262,0.0019562202852614896,0.0,0.09375,True
Full,ct_motion_residual_saturation,39,1262,0.0018571711568938192,0.0,0.125,True
Full,ct_motion_residual_saturation,40,1262,0.001881933438985737,0.0,0.09375,True
