group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,epoch,step,value
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,60,75719,31.8851
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,5,6309,40.6969
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,10,12619,46.0908
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,15,18929,45.7298
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,20,25239,42.8851
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,25,31549,51.7363
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,30,37859,48.9289
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,35,44169,52.2834
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,40,50479,46.4781
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,45,56789,50.4628
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,50,63099,50.2024
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,55,69409,49.1346
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,success/test,60,75719,50.9858
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,5,6309,41.8698
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,10,12619,65.2144
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,15,18929,50.5416
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,20,25239,49.2309
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,25,31549,60.6324
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,30,37859,53.9092
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,35,44169,62.3392
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,40,50479,51.174
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,45,56789,59.6105
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,50,63099,57.3085
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,55,69409,59.3184
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,0,a1_time,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,60,75719,59.9617
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,5,6309,25.11706924438477
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,10,12619,29.53501319885254
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,success/test,15,18929,32.35557556152344
