group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,baseline_final,baseline_best,final_delta_vs_group_baseline,best_delta_vs_group_baseline,note
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,7,latest,A2-order-dyn+TWC w0.01 seed42,A2 dyn+TWC .01,variant,precision/test,24.269147872924805,60,75720,32.156455993652344,5,6310,7.887308120727539,25.66475264231364,3.021597848442128,59.9617,65.2144,-35.692552127075196,-33.057944006347654,active TWC weight 0.01
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,0,twc_gate,SeqTrack baseline,SeqTrack baseline,baseline,success/test,50.9858,60,75719,52.2834,35,44169,1.2976000000000028,47.967908333333334,3.4747748400575853,50.9858,52.2834,0.0,0.0,baseline
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,0,twc_gate,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,59.9617,60,75719,65.2144,10,12619,5.252699999999997,55.92588333333333,6.395816864669351,59.9617,65.2144,0.0,0.0,baseline
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,1,twc_gate,A1-order,A1 order,variant,success/test,51.22866821289063,60,75719,53.29868698120117,45,56789,2.0700187683105398,49.00182374318441,3.559312754166607,50.9858,52.2834,0.24286821289063454,1.0152869812011716,parent for A1+TWC
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,1,twc_gate,A1-order,A1 order,variant,precision/test,57.863243103027344,60,75719,62.01531982421875,45,56789,4.152076721191406,56.958882331848145,4.7957745824106395,59.9617,65.2144,-2.0984568969726567,-3.1990801757812477,parent for A1+TWC
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,2,twc_gate,A1-order+TWC,A1 order+TWC,variant,success/test,51.156455993652344,60,75720,53.15645980834961,55,69410,2.0000038146972656,47.28464698791504,6.730356317200045,50.9858,52.2834,0.17065599365234618,0.8730598083496091,active TWC
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,2,twc_gate,A1-order+TWC,A1 order+TWC,variant,precision/test,61.10174560546875,60,75720,63.35011291503906,55,69410,2.2483673095703125,55.2939453125,10.470390364922704,59.9617,65.2144,1.1400456054687496,-1.8642870849609352,active TWC
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,3,twc_gate,A2-order-dyn,A2 order-dyn,variant,success/test,50.961708068847656,60,75719,51.54158020019531,45,56789,0.5798721313476562,46.82768154144287,6.546487696508089,50.9858,52.2834,-0.024091931152341317,-0.7418197998046878,parent for A2+TWC
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,3,twc_gate,A2-order-dyn,A2 order-dyn,variant,precision/test,63.31401062011719,60,75719,63.57330703735352,10,12619,0.25929641723633523,57.76294803619385,9.903122816696326,59.9617,65.2144,3.352310620117187,-1.641092962646475,parent for A2+TWC
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,4,twc_gate,A2-order-dyn+TWC,A2 dyn+TWC .05,variant,success/test,28.230854034423828,60,75720,45.235233306884766,10,12620,17.004379272460938,30.535558541615803,5.459001726774436,50.9858,52.2834,-22.75494596557617,-7.048166693115235,active TWC weight 0.05
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,4,twc_gate,A2-order-dyn+TWC,A2 dyn+TWC .05,variant,precision/test,32.03719711303711,60,75720,57.432167053222656,5,6310,25.394969940185547,35.40682125091553,9.369713042117263,59.9617,65.2144,-27.92450288696289,-7.7822329467773415,active TWC weight 0.05
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,5,latest,A2-order-dyn+TWC w0.01 seed42,A2 dyn+TWC .01,variant,success/test,22.878559112548828,60,75720,30.26805305480957,5,6310,7.389493942260742,24.34555196762085,2.4349393419002197,50.9858,52.2834,-28.10724088745117,-22.01534694519043,active TWC weight 0.01
twc_related_60ep,TWC-Related Runs (60ep),60ep nuScenes-mini; active TWC validity fixed,5,latest,A2-order-dyn+TWC w0.01 seed42,A2 dyn+TWC .01,variant,precision/test,24.269147872924805,60,75720,32.156455993652344,5,6310,7.887308120727539,25.66475264231364,3.021597848442128,59.9617,65.2144,-35.692552127075196,-33.057944006347654,active TWC weight 0.01
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,50.9858,60,75719,52.2834,35,44169,1.2976000000000028,47.96790833333333,3.474774840057586,50.9858,52.2834,0.0,0.0,baseline
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,0,main,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,59.9617,60,75719,65.2144,10,12619,5.252699999999997,55.92588333333333,6.395816864669351,59.9617,65.2144,0.0,0.0,baseline
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,1,order,A2-order-dyn,A2 order-dyn seed42,variant,success/test,50.961708068847656,60,75719,51.54158020019531,45,56789,0.5798721313476562,46.82768154144287,6.5464876965080885,50.9858,52.2834,-0.024091931152341317,-0.7418197998046878,cleaner A2 parent
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,1,order,A2-order-dyn,A2 order-dyn seed42,variant,precision/test,63.31401062011719,60,75719,63.573307037353516,10,12619,0.2592964172363281,57.76294803619385,9.903122816696325,59.9617,65.2144,3.352310620117187,-1.641092962646482,cleaner A2 parent
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,2,main,CT P5 full,P5 full,variant,success/test,31.1937,60,75719,44.9836,25,31549,13.789900000000003,33.39751666666667,7.988249026417213,50.9858,52.2834,-19.792099999999998,-7.299799999999998,old full model with raw real-time path
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,2,main,CT P5 full,P5 full,variant,precision/test,31.8851,60,75719,62.512,5,6309,30.6269,36.08916666666666,12.583395080245856,59.9617,65.2144,-28.0766,-2.7023999999999972,old full model with raw real-time path
a3_gate_variants_60ep,A3 / Gate Variants (60ep),60ep nuScenes-mini plus latest retests,3,gate,A3-order-gate-safe,A3 gate-safe,variant,success/test,48.3205680847168,60,75720,50.99234771728516,55,69410,2.6717796325683665,44.82239818572998,5.627688170428626,50.9858,52.2834,-2.6652319152832007,-1.291052282714837,observation-biased feature gate
