epoch,value,points,metric,run_id,run
16,0.6190237118117216,1262,Effective sample weight,B,M3-w0
17,0.6216839029558487,1262,Effective sample weight,B,M3-w0
18,0.6255155682752703,1262,Effective sample weight,B,M3-w0
19,0.625853815790496,1262,Effective sample weight,B,M3-w0
20,0.6238553798425406,1262,Effective sample weight,B,M3-w0
21,0.6260856113938258,1262,Effective sample weight,B,M3-w0
22,0.6232132685212817,1262,Effective sample weight,B,M3-w0
23,0.6244205077859187,1262,Effective sample weight,B,M3-w0
24,0.6242987701754941,1262,Effective sample weight,B,M3-w0
25,0.6255144939983703,1262,Effective sample weight,B,M3-w0
26,0.6249189230889413,1262,Effective sample weight,B,M3-w0
27,0.6264242477679592,1262,Effective sample weight,B,M3-w0
28,0.6262691019312515,1262,Effective sample weight,B,M3-w0
29,0.6239340758739296,1262,Effective sample weight,B,M3-w0
30,0.625556950098739,1262,Effective sample weight,B,M3-w0
31,0.6255316591678444,1262,Effective sample weight,B,M3-w0
32,0.625648486420583,1262,Effective sample weight,B,M3-w0
33,0.6279437773862467,1262,Effective sample weight,B,M3-w0
34,0.6260390867096876,1262,Effective sample weight,B,M3-w0
35,0.6285539047464893,1262,Effective sample weight,B,M3-w0
36,0.6253840000429168,1262,Effective sample weight,B,M3-w0
37,0.6254015805556922,1262,Effective sample weight,B,M3-w0
38,0.6228684738703462,1262,Effective sample weight,B,M3-w0
39,0.6277304468130347,1262,Effective sample weight,B,M3-w0
40,0.6265559943655591,1262,Effective sample weight,B,M3-w0
41,0.6280999643205651,1262,Effective sample weight,B,M3-w0
42,0.6268300828767465,1262,Effective sample weight,B,M3-w0
43,0.626138245176211,1262,Effective sample weight,B,M3-w0
44,0.624297011886451,537,Effective sample weight,B,M3-w0
1,0.0,1262,Effective M3 objective weight,B,M3-w0
2,0.0,1262,Effective M3 objective weight,B,M3-w0
3,0.0,1262,Effective M3 objective weight,B,M3-w0
4,0.0,1262,Effective M3 objective weight,B,M3-w0
5,0.0,1262,Effective M3 objective weight,B,M3-w0
6,0.0,1262,Effective M3 objective weight,B,M3-w0
7,0.0,1262,Effective M3 objective weight,B,M3-w0
8,0.0,1262,Effective M3 objective weight,B,M3-w0
9,0.0,1262,Effective M3 objective weight,B,M3-w0
10,0.0,1262,Effective M3 objective weight,B,M3-w0
11,0.0,1262,Effective M3 objective weight,B,M3-w0
12,0.0,1262,Effective M3 objective weight,B,M3-w0
13,0.0,1262,Effective M3 objective weight,B,M3-w0
14,0.0,1262,Effective M3 objective weight,B,M3-w0
15,0.0,1262,Effective M3 objective weight,B,M3-w0
16,0.0,1262,Effective M3 objective weight,B,M3-w0
17,0.0,1262,Effective M3 objective weight,B,M3-w0
18,0.0,1262,Effective M3 objective weight,B,M3-w0
19,0.0,1262,Effective M3 objective weight,B,M3-w0
20,0.0,1262,Effective M3 objective weight,B,M3-w0
21,0.0,1262,Effective M3 objective weight,B,M3-w0
22,0.0,1262,Effective M3 objective weight,B,M3-w0
23,0.0,1262,Effective M3 objective weight,B,M3-w0
24,0.0,1262,Effective M3 objective weight,B,M3-w0
25,0.0,1262,Effective M3 objective weight,B,M3-w0
26,0.0,1262,Effective M3 objective weight,B,M3-w0
27,0.0,1262,Effective M3 objective weight,B,M3-w0
28,0.0,1262,Effective M3 objective weight,B,M3-w0
29,0.0,1262,Effective M3 objective weight,B,M3-w0
30,0.0,1262,Effective M3 objective weight,B,M3-w0
31,0.0,1262,Effective M3 objective weight,B,M3-w0
32,0.0,1262,Effective M3 objective weight,B,M3-w0
33,0.0,1262,Effective M3 objective weight,B,M3-w0
34,0.0,1262,Effective M3 objective weight,B,M3-w0
35,0.0,1262,Effective M3 objective weight,B,M3-w0
36,0.0,1262,Effective M3 objective weight,B,M3-w0
37,0.0,1262,Effective M3 objective weight,B,M3-w0
38,0.0,1262,Effective M3 objective weight,B,M3-w0
39,0.0,1262,Effective M3 objective weight,B,M3-w0
40,0.0,1262,Effective M3 objective weight,B,M3-w0
41,0.0,1262,Effective M3 objective weight,B,M3-w0
42,0.0,1262,Effective M3 objective weight,B,M3-w0
43,0.0,1262,Effective M3 objective weight,B,M3-w0
44,0.0,538,Effective M3 objective weight,B,M3-w0
1,0.7692677778547568,1262,M3 path loss,C,M3-w.05
2,0.25129700112252507,1262,M3 path loss,C,M3-w.05
3,0.23386006381158997,1262,M3 path loss,C,M3-w.05
4,0.2218902216926837,1262,M3 path loss,C,M3-w.05
5,0.20607733184570615,1262,M3 path loss,C,M3-w.05
6,0.12240897543426152,1262,M3 path loss,C,M3-w.05
7,0.07350739078148284,1262,M3 path loss,C,M3-w.05
8,0.06374930264133069,1262,M3 path loss,C,M3-w.05
9,0.05051151417439697,1262,M3 path loss,C,M3-w.05
10,0.0441938465638802,1262,M3 path loss,C,M3-w.05
11,0.042368197149892116,1262,M3 path loss,C,M3-w.05
12,0.03314844552256321,1262,M3 path loss,C,M3-w.05
13,0.029252448071577702,1262,M3 path loss,C,M3-w.05
14,0.03939384347592221,1262,M3 path loss,C,M3-w.05
15,0.029729930114854503,1262,M3 path loss,C,M3-w.05
16,0.024405619436673888,1262,M3 path loss,C,M3-w.05
17,0.026234767389212175,1262,M3 path loss,C,M3-w.05
18,0.021918539240800963,1262,M3 path loss,C,M3-w.05
