protocol,model,metric,point_idx,epoch,step,value,run_dir
burst_drop,A2-order-dyn,precision/test,7,40,28240,57.93164825439453,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,8,45,31770,47.434051513671875,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,9,50,35300,50.805355072021484,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,10,55,38830,50.065948486328125,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,11,60,42360,54.880096435546875,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
random20,A1-order,success/test,0,5,5090,43.68746566772461,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,1,10,10180,29.92715835571289,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,2,15,15270,32.296592712402344,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,3,20,20360,41.47471237182617,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,4,25,25450,40.89472198486328,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,5,30,30540,43.423580169677734,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,6,35,35630,39.22896957397461,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,7,40,40720,41.2053337097168,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,8,45,45810,40.77653121948242,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,9,50,50900,39.77322769165039,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,10,55,55990,41.84029769897461,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,success/test,11,60,61080,40.718807220458984,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,0,5,5090,51.221824645996094,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,1,10,10180,28.756183624267578,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,2,15,15270,48.801536560058594,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,3,20,20360,49.28119659423828,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,4,25,25450,44.836448669433594,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,5,30,30540,47.29796600341797,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,6,35,35630,41.7303466796875,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,7,40,40720,45.577239990234375,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,8,45,45810,44.60417556762695,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,9,50,50900,41.83617401123047,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,10,55,55990,45.32298278808594,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,11,60,61080,42.71440505981445,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,0,5,5090,36.232818603515625,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,1,10,10180,43.47031784057617,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,2,15,15270,25.955196380615234,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,3,20,20360,47.86833190917969,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,4,25,25450,49.81720733642578,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,5,30,30540,49.54233169555664,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,6,35,35630,47.47526550292969,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,7,40,40720,45.845245361328125,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,8,45,45810,51.5131950378418,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,9,50,50900,48.115718841552734,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,10,55,55990,48.75068283081055,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,11,60,61080,49.8089599609375,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,0,5,5090,59.39252471923828,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,1,10,10180,54.15475845336914,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,2,15,15270,26.448598861694336,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,3,20,20360,60.32435989379883,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,4,25,25450,58.965091705322266,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,5,30,30540,58.40021896362305,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,6,35,35630,51.91176986694336,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,7,40,40720,48.150081634521484,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,8,45,45810,60.475528717041016,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
